"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Jarlin Garcia","SFG","1","4","1","58","0","65.0","7.75","2.49","1.38",".270","69.2%","39.1%","11.5%","93.7","3.74","4.28","4.27","4.25","-0.1","18282","606424"
"Cody Poteet","MIA","0","1","0","12","2","28.0","6.75","3.54","1.29",".244","77.5%","51.2%","16.0%","95.0","3.86","4.74","4.65","4.11","-0.1","18769","547001"
"Ross Detwiler","CIN","0","2","1","30","0","26.1","9.57","3.42","1.71",".342","83.8%","38.3%","19.2%","92.5","4.44","5.42","4.94","3.93","-0.1","2859","446321"
"Steven Okert","MIA","5","5","0","60","0","51.1","11.05","4.56","1.23",".229","83.9%","35.0%","13.0%","93.7","2.98","3.22","4.36","4.14","-0.1","13580","595345"
"Adam Kolarek","OAK","0","1","0","15","0","17.2","4.58","4.08","0.51",".328","74.3%","69.5%","11.1%","89.9","4.58","4.71","4.70","4.72","-0.1","10843","592473"
"Corbin Martin","ARI","0","1","0","7","2","22.1","8.46","4.84","1.21",".338","70.1%","29.9%","10.7%","94.0","4.84","6.74","4.59","4.70","-0.1","19884","656686"
"Bryse Wilson","PIT","3","9","0","25","20","115.2","6.15","2.49","1.56",".304","64.1%","43.3%","14.8%","92.9","5.52","5.53","5.06","4.54","-0.1","19990","669060"
"Emilio Pagan","MIN","4","6","9","59","0","63.0","12.00","3.71","1.71",".318","72.6%","40.4%","18.5%","95.6","4.43","3.91","4.21","3.26","-0.1","14771","641941"
"Josh Fleming","TBR","2","5","0","10","3","35.0","7.46","3.09","1.29",".402","51.7%","63.8%","20.8%","92.6","6.43","4.37","4.43","3.58","-0.1","20418","676596"
"Andres Machado","WSN","2","0","0","51","0","59.1","6.98","3.94","1.06",".267","69.7%","43.3%","11.1%","95.7","3.34","5.31","4.51","4.55","-0.1","14681","600921"
"Ryan Pepiot","LAD","3","0","0","9","7","36.1","10.40","6.69","1.49",".244","86.1%","26.4%","12.0%","93.9","3.47","4.31","5.42","5.31","-0.1","26221","686752"
"Jeremy Beasley","TOR","0","0","0","9","0","15.0","11.40","3.00","2.40",".294","77.9%","28.9%","20.0%","95.2","4.80","3.27","5.45","3.95","-0.1","20205","676886"
"Devin Smeltzer","MIN","5","2","0","15","12","70.1","5.12","2.43","1.66",".252","82.8%","38.6%","12.7%","89.4","3.71","4.34","5.23","4.97","-0.1","19487","656970"
"Angel De Jesus","DET","0","0","0","8","0","12.2","4.97","2.84","1.42",".179","98.4%","36.6%","9.1%","94.4","2.13","4.74","5.48","6.00","-0.1","22323","669804"
"Jackson Tetreault","WSN","2","2","0","4","4","21.0","3.86","4.29","1.71",".260","65.7%","40.3%","13.3%","94.5","5.14","7.41","6.16","5.80","-0.1","20565","676194"
"Yunior Marte","SFG","1","1","0","39","0","48.0","8.25","4.13","0.94",".307","63.2%","48.6%","11.9%","97.7","5.44","3.83","4.38","4.32","-0.1","14416","628708"
"Hanser Alberto","LAD","0","0","0","10","0","11.0","0.82","2.45","1.64",".200","80.4%","19.0%","7.4%","64.8","4.09","4.71","6.39","7.66","-0.1","11902","593643"
"Matthew Festa","SEA","2","0","2","53","0","54.0","10.67","3.00","1.67",".264","75.5%","38.6%","16.9%","92.6","4.17","3.72","4.26","3.47","-0.1","19330","670036"
"Trevor Gott","MIL","3","4","0","45","0","45.2","8.67","2.36","1.58",".227","64.4%","43.7%","15.7%","95.3","4.14","2.94","4.45","3.82","-0.1","15046","641627"
"Jose Ruiz","CHW","1","0","0","63","0","60.2","10.09","4.90","1.34",".284","73.6%","42.1%","13.4%","97.0","4.60","4.31","4.43","4.14","-0.1","14552","614179"
"Jake McGee","- - -","1","3","3","42","0","37.0","6.08","2.92","1.46",".292","53.8%","27.2%","8.6%","94.3","6.81","5.14","4.84","5.53","-0.1","7550","459429"
"Domingo Tapia","OAK","0","0","0","11","0","17.0","6.35","7.41","0.53",".387","62.2%","48.4%","5.3%","97.9","8.47","4.91","5.11","6.00","-0.1","12178","593619"
"Tyler Matzek","ATL","4","2","1","42","0","43.2","7.42","5.98","0.62",".202","68.2%","33.0%","5.1%","94.1","3.50","4.25","4.49","5.59","-0.1","10058","554431"
"Will Smith","- - -","0","3","5","65","0","59.0","9.92","3.81","1.37",".306","69.1%","35.2%","12.2%","92.1","3.97","3.57","4.26","4.14","-0.1","8048","519293"
"Collin Snider","KCR","4","2","0","42","0","34.1","5.77","3.93","0.79",".339","60.6%","51.4%","11.1%","","6.55","6.01","4.45","4.48","-0.1","23307","676092"
"Tyson Miller","TEX","1","2","0","4","2","10.2","6.75","6.75","0.84",".405","48.8%","44.7%","9.1%","","10.97","5.28","5.64","5.95","-0.1","19976","668338"
"Albert Abreu","- - -","2","2","0","33","0","38.2","8.84","5.12","1.16",".288","84.9%","51.9%","15.6%","98.2","3.26","4.40","4.77","4.31","-0.1","17485","656061"
"Kaleb Ort","BOS","1","2","1","25","0","28.1","8.58","4.76","1.27",".360","62.5%","30.7%","9.8%","96.3","6.35","5.35","4.84","5.15","-0.1","20061","672391"
"Nick Vespi","BAL","5","0","1","25","0","26.1","9.57","2.73","1.71",".343","83.9%","42.7%","21.7%","88.5","4.10","5.49","4.48","3.30","-0.1","21093","663989"
"Chi Chi Gonzalez","- - -","0","1","0","7","5","23.0","5.87","2.74","1.96",".319","71.4%","41.6%","16.7%","92.6","5.87","5.67","5.55","4.65","-0.1","14663","592346"
"Anthony Bender","MIA","1","3","6","22","0","19.1","7.91","3.72","1.40",".286","87.2%","53.8%","25.0%","98.1","3.26","4.84","4.77","3.67","-0.1","19742","669622"
"Andrew Kittredge","TBR","3","1","5","17","0","20.0","6.30","0.90","1.80",".200","87.7%","45.8%","16.7%","96.5","3.15","2.94","4.61","3.79","-0.2","12828","552640"
"Cole Sulser","MIA","1","4","2","39","0","34.0","10.06","4.24","1.59",".371","68.7%","40.2%","18.2%","91.8","5.29","4.97","4.58","3.73","-0.2","15256","642121"
"Luis Perdomo","MIL","3","0","0","14","0","23.2","4.56","1.14","1.52",".263","80.4%","62.5%","21.1%","","3.80","4.91","4.80","3.79","-0.2","14682","606131"
"Anthony Gose","CLE","3","0","0","22","0","21.0","12.00","6.00","1.71",".244","69.7%","26.5%","16.0%","97.3","4.71","5.04","5.06","4.35","-0.2","5097","543238"
"Aaron Fletcher","PIT","0","1","0","9","0","11.2","4.63","3.09","1.54",".216","56.3%","43.6%","12.5%","","6.94","5.49","6.11","5.91","-0.2","22052","667465"
"Jared Koenig","OAK","1","3","0","10","5","39.1","5.03","3.43","0.92",".275","64.3%","48.5%","9.1%","89.3","5.72","5.14","4.84","5.18","-0.2","27517","657649"
"JoJo Romero","- - -","0","0","0","17","0","16.1","9.37","5.51","1.65",".270","74.5%","60.5%","33.3%","95.6","4.96","4.84","5.26","3.68","-0.2","19574","668941"
"Austin Warren","LAA","2","0","0","14","0","16.0","5.06","2.81","1.69",".302","70.7%","37.7%","12.5%","93.9","5.63","7.45","5.36","5.15","-0.2","24937","681810"
"Carlos Hernandez","KCR","0","5","0","27","7","56.0","5.63","4.98","1.13",".339","59.4%","38.1%","8.6%","97.0","7.39","5.28","5.20","5.72","-0.2","22713","672578"
"Oliver Ortega","LAA","1","3","1","27","0","34.0","8.74","4.76","1.32",".297","75.0%","49.5%","20.0%","96.2","3.71","5.04","4.76","3.94","-0.2","21025","661383"
"Brent Suter","MIL","5","3","0","54","0","66.2","7.16","2.97","1.22",".265","72.4%","45.0%","13.0%","86.5","3.78","3.72","4.40","4.18","-0.2","13942","608718"
"Anibal Sanchez","WSN","4","6","0","14","14","69.1","6.23","4.28","1.69",".216","78.6%","37.9%","14.3%","89.4","4.28","4.65","5.77","5.27","-0.2","3284","434671"
"Yohan Ramirez","- - -","4","1","1","30","0","37.1","7.71","4.82","0.96",".267","74.4%","49.5%","12.9%","94.5","4.58","4.71","4.88","4.72","-0.2","19444","670990"
"Manuel Rodriguez","CHC","2","0","4","14","0","13.2","5.27","5.93","0.66",".231","73.9%","52.5%","11.1%","95.3","3.29","5.38","4.87","4.89","-0.2","20794","655889"
"Sam Selman","OAK","0","0","0","16","0","18.1","8.84","2.45","1.96",".255","73.2%","33.3%","15.4%","89.4","4.91","3.64","4.97","4.23","-0.2","13397","572125"
"Garrett Hill","DET","3","3","0","17","8","60.1","5.97","4.33","1.19",".247","76.2%","36.5%","9.2%","92.2","4.03","5.75","5.15","5.56","-0.2","25097","682051"
"Kodi Whitley","STL","2","0","0","14","0","12.2","8.53","6.39","1.42",".265","72.9%","41.7%","14.3%","93.6","5.68","6.45","5.88","5.46","-0.2","19731","676831"
"Chase De Jong","PIT","6","3","1","42","0","71.2","7.41","3.77","1.26",".222","86.3%","33.5%","10.2%","93.0","2.64","3.89","4.74","4.96","-0.2","15036","608328"
"Eduard Bazardo","BOS","1","0","0","12","0","16.1","6.06","2.20","2.20",".182","100.0%","41.7%","19.0%","94.3","2.76","3.94","6.05","4.77","-0.2","20997","660825"
"Luis Frias","ARI","1","1","0","15","0","17.0","7.41","9.00","0.53",".386","53.0%","39.7%","4.5%","96.8","10.59","5.78","5.41","6.56","-0.2","21997","666818"
"Connor Seabold","BOS","0","4","0","5","5","18.1","9.33","3.93","2.45",".476","56.4%","29.4%","15.2%","92.2","11.29","5.60","6.39","5.50","-0.2","19695","657756"
"Ronald Bolanos","KCR","0","0","0","8","0","18.1","5.89","5.89","0.98",".310","80.7%","51.7%","11.1%","93.5","4.42","6.13","5.68","5.71","-0.2","20041","671790"
"Jhoulys Chacin","COL","4","2","0","35","0","47.1","7.04","3.99","1.33",".316","49.9%","39.2%","11.7%","92.8","7.61","4.74","4.93","4.88","-0.2","2608","468504"
"Elvis Peguero","LAA","0","0","0","13","0","17.1","6.23","2.60","2.08",".339","53.6%","50.8%","21.1%","","6.75","5.11","5.59","4.22","-0.2","21652","665625"
"Kervin Castro","- - -","0","1","0","10","0","12.1","8.03","5.11","2.19",".333","44.9%","43.6%","21.4%","92.9","10.22","5.67","6.19","4.71","-0.2","21656","665645"
"Aroldis Chapman","NYY","4","4","9","43","0","36.1","10.65","6.94","0.99",".238","73.8%","35.6%","10.0%","97.5","4.46","4.46","4.57","4.77","-0.2","10233","547973"
"Erich Uelmen","CHC","2","1","1","25","0","27.0","7.00","4.00","1.00",".275","72.2%","47.6%","10.0%","93.8","4.67","4.05","5.00","5.20","-0.2","20323","657272"
"Chase Silseth","LAA","1","3","0","7","7","28.2","7.53","3.77","2.20",".306","69.1%","46.2%","25.0%","95.6","6.59","6.61","5.97","4.24","-0.2","30074","681217"
"Tyler Beede","- - -","2","5","0","31","5","61.1","5.72","4.26","1.03",".312","71.4%","48.1%","10.4%","95.9","5.14","4.84","4.99","5.12","-0.2","16981","595881"
"Norge Ruiz","OAK","0","1","0","14","0","19.0","8.53","3.32","1.89",".413","68.9%","36.4%","17.4%","93.0","7.11","7.04","5.38","4.43","-0.2","19580","650204"
"Colin Poche","TBR","4","2","7","65","0","58.2","9.82","3.38","1.69",".238","72.8%","31.8%","14.3%","93.5","3.99","3.51","4.54","4.05","-0.2","19403","621363"
"Louis Head","- - -","0","0","1","28","0","28.2","8.16","4.71","1.26",".318","69.0%","28.9%","9.5%","93.6","6.28","4.65","5.21","5.56","-0.2","13259","545343"
"Miguel Yajure","PIT","1","1","1","12","1","24.1","5.92","5.92","1.11",".341","51.3%","43.5%","10.7%","93.0","8.88","7.88","5.62","5.72","-0.3","21111","664337"
"Adrian Martinez","OAK","4","6","0","12","12","57.2","8.27","2.97","2.03",".327","67.3%","41.3%","19.7%","","6.24","5.38","5.35","4.11","-0.3","21023","661309"
"Art Warren","CIN","2","3","3","39","0","36.0","10.00","5.50","1.50",".326","60.8%","37.6%","14.6%","93.6","6.50","4.81","5.06","4.58","-0.3","18251","605521"
"Calvin Faucher","TBR","2","3","1","22","0","21.1","8.86","4.22","1.69",".338","66.9%","40.6%","16.7%","95.5","5.48","6.01","5.13","4.36","-0.3","20116","676534"
"Miguel Sanchez","MIL","1","1","0","12","0","13.1","6.08","5.40","2.03",".237","82.3%","58.5%","27.3%","94.3","4.05","4.91","6.49","4.78","-0.3","20074","667376"
"Zack Littell","SFG","3","3","1","39","0","44.1","7.92","2.64","1.62",".310","72.8%","43.4%","14.5%","94.4","5.08","3.64","4.65","4.14","-0.3","15823","641793"
"Jake Bird","COL","2","4","0","38","0","47.2","7.93","4.34","1.32",".281","69.1%","55.7%","20.6%","","4.91","4.78","4.96","4.11","-0.3","21267","656234"
"Jose Marte","LAA","0","0","0","11","0","11.0","12.27","14.73","1.64",".261","73.3%","16.0%","16.7%","96.6","7.36","7.78","7.66","6.91","-0.3","21761","665896"
"Travis Lakins Sr.","BAL","0","1","0","6","0","10.1","6.97","5.23","2.61",".344","59.5%","34.3%","20.0%","94.3","9.58","8.96","7.37","5.75","-0.3","18600","664042"
"J.B. Wendelken","ARI","2","1","0","29","0","29.0","6.52","4.34","1.24",".256","64.0%","44.2%","15.4%","94.8","5.28","6.37","5.01","4.54","-0.3","14506","605525"
"Jacob Barnes","- - -","3","1","0","23","0","22.1","4.84","3.63","1.21",".282","67.1%","50.7%","13.0%","95.4","5.64","4.78","5.26","5.04","-0.3","12323","606930"
"Justin Bruihl","LAD","1","1","1","24","0","23.2","4.94","2.28","1.52",".243","78.7%","37.8%","12.5%","88.9","3.80","3.72","5.35","5.16","-0.3","23779","677865"
"Chasen Shreve","NYM","1","1","0","25","0","26.1","9.91","3.42","2.05",".304","62.9%","40.0%","20.7%","90.7","6.49","4.91","5.01","3.68","-0.3","10855","592741"
"Bennett Sousa","CHW","3","0","1","25","0","20.1","5.31","4.43","1.33",".314","50.3%","49.3%","12.0%","94.3","8.41","4.23","5.47","5.38","-0.3","21345","656986"
"Yennier Cano","- - -","1","1","0","13","0","18.0","10.50","8.00","1.50",".411","51.5%","49.2%","18.8%","95.7","11.50","5.11","5.78","4.93","-0.3","25911","666974"
"Kirby Snead","OAK","1","1","1","46","0","44.2","7.05","4.43","1.01",".349","67.1%","42.7%","8.5%","93.7","5.84","4.43","4.61","5.11","-0.3","19179","669912"
"Steve Cishek","WSN","1","4","1","69","0","66.1","10.04","3.66","1.49",".265","77.6%","41.2%","16.7%","89.3","4.21","4.56","4.85","4.16","-0.3","6483","518553"
"Brandon Hughes","CHC","2","3","8","57","0","57.2","10.61","3.28","1.72",".233","87.7%","33.8%","17.5%","93.3","3.12","3.86","4.64","3.78","-0.3","23460","676714"
"Dusten Knight","TBR","0","1","0","6","0","11.0","7.36","3.27","3.27",".219","74.5%","40.0%","26.7%","90.0","5.73","5.28","7.29","4.59","-0.3","16537","643400"
"Jackson Kowar","KCR","0","0","0","7","0","15.2","9.77","6.32","2.30",".460","64.8%","50.0%","25.0%","95.8","9.77","6.37","6.37","4.56","-0.3","21549","663804"
"Jimmy Yacabonis","- - -","1","1","0","14","1","14.0","13.50","6.43","2.57",".444","64.4%","25.0%","20.0%","","8.36","7.98","6.40","4.80","-0.3","15157","642231"
"Sammy Long","SFG","1","3","1","28","6","42.1","7.02","2.98","1.70",".248","72.4%","39.2%","13.6%","94.5","3.61","4.28","5.07","4.68","-0.3","25379","669674"
"Josh Rogers","WSN","2","2","0","16","3","26.1","4.10","3.76","2.05",".214","75.2%","34.8%","13.6%","90.6","5.13","5.01","6.42","5.93","-0.3","18510","642028"
"Keynan Middleton","ARI","1","2","0","18","0","17.0","7.94","1.59","2.65",".244","53.8%","26.5%","20.0%","94.8","5.29","5.67","5.88","4.23","-0.3","15264","641871"
"Jason Alexander","MIL","2","3","0","18","11","71.2","5.78","3.52","1.51",".329","70.7%","50.6%","18.2%","93.1","5.40","5.49","5.34","4.53","-0.3","19666","669920"
"Austin Pruitt","OAK","0","1","1","39","1","55.1","6.18","1.46","1.79",".224","68.1%","45.5%","15.5%","91.5","4.23","3.94","4.87","4.18","-0.3","15290","643493"
"Jharel Cotton","- - -","4","2","0","30","0","43.0","8.16","4.19","1.47",".239","77.9%","29.4%","11.5%","92.7","3.56","3.83","4.95","4.93","-0.3","13654","605194"
"Tucker Davidson","- - -","2","7","0","12","11","52.0","5.71","6.06","1.21",".285","64.5%","44.1%","11.1%","93.1","6.75","4.84","5.79","5.83","-0.3","19871","656353"
"Kohei Arihara","TEX","1","3","0","5","4","20.0","6.30","4.95","1.80",".421","63.1%","50.6%","21.1%","92.0","9.45","7.13","6.41","5.22","-0.3","27505","685503"
"Dallas Keuchel","- - -","2","9","0","14","14","60.2","6.68","4.60","1.63",".384","51.1%","50.2%","17.2%","87.8","9.20","5.49","5.52","4.72","-0.3","9434","572971"
"Tyler Gilbert","ARI","0","3","0","8","7","34.1","5.24","2.62","2.10",".234","70.1%","32.7%","15.4%","89.3","5.24","6.74","5.94","5.15","-0.3","17964","656457"
"Tommy Milone","SEA","1","1","0","7","0","16.2","2.70","3.24","2.16",".189","71.4%","28.6%","12.9%","86.8","5.40","5.45","6.89","6.53","-0.3","7608","543548"
"Jeurys Familia","- - -","2","3","0","48","0","44.1","8.32","4.47","1.42",".386","66.5%","47.8%","16.7%","95.6","6.09","4.87","4.94","4.29","-0.3","5114","544727"
"Junior Fernandez","- - -","0","0","0","16","0","18.2","6.75","5.79","1.45",".278","93.3%","58.9%","20.0%","99.0","2.41","3.97","5.79","4.89","-0.3","18496","658551"
"Joe Barlow","TEX","3","1","13","35","0","35.0","7.20","3.34","1.29",".229","70.3%","37.0%","11.1%","94.7","3.86","5.28","4.83","4.87","-0.3","22296","669618"
"Thomas Szapucki","- - -","0","1","0","11","1","15.0","10.80","4.20","3.60",".361","79.5%","28.6%","30.0%","95.1","7.20","6.05","7.31","4.09","-0.3","21065","663378"
"Javy Guerra","- - -","2","1","0","18","0","18.0","5.00","5.50","1.50",".228","71.4%","39.0%","11.5%","98.6","5.00","5.42","6.17","6.14","-0.3","17292","642770"
"Ralph Garza","TBR","2","2","0","19","0","35.0","4.37","4.11","1.03",".298","83.3%","41.0%","10.5%","91.2","3.34","5.63","5.17","5.29","-0.3","17682","621248"
"T.J. McFarland","STL","0","0","0","28","0","32.2","4.41","3.03","1.38",".333","60.4%","53.0%","16.7%","","6.61","6.13","5.32","4.69","-0.3","3237","519008"
"Joey Krehbiel","BAL","5","5","1","56","0","57.2","7.02","2.81","1.40",".260","74.9%","42.1%","13.6%","94.6","3.90","4.08","4.67","4.34","-0.3","13707","607216"
"Dauri Moreta","CIN","0","2","1","35","1","38.1","9.16","3.05","2.35",".234","71.4%","32.7%","19.6%","96.1","5.40","4.02","5.80","4.38","-0.4","21101","664294"
"Jacob Lemoine","OAK","0","0","0","9","0","16.1","7.16","3.86","2.20",".280","51.5%","40.7%","16.7%","93.3","7.71","3.83","5.99","4.98","-0.4","19785","621082"
"Tommy Henry","ARI","3","4","0","9","9","47.0","6.89","4.02","1.91",".274","75.4%","39.4%","16.9%","91.5","5.36","4.87","5.88","4.97","-0.4","26285","674072"
"Sean Poppen","ARI","2","2","0","29","0","28.2","6.91","3.77","1.57",".275","75.8%","34.9%","13.2%","","4.40","3.57","5.21","4.90","-0.4","19583","664092"
"Tyler Danish","BOS","3","1","0","32","0","40.1","7.14","2.68","1.56",".280","69.3%","47.2%","18.4%","91.4","5.13","6.29","4.97","4.11","-0.4","15126","641501"
"Craig Stammen","SDP","1","2","0","33","1","40.2","7.75","2.21","1.99",".298","78.8%","50.8%","23.1%","","4.43","4.08","5.15","3.70","-0.4","7274","489334"
"Casey Lawrence","TOR","0","1","0","6","0","18.0","5.50","2.00","2.50",".310","61.9%","40.3%","22.7%","91.0","7.50","5.78","6.33","4.53","-0.4","11121","596271"
"Jose Alvarez","SFG","2","1","1","21","0","15.1","8.80","5.28","1.76",".298","75.6%","46.8%","18.8%","91.2","5.28","7.22","5.85","4.85","-0.4","5358","501625"
"Daniel Norris","- - -","2","4","0","41","3","58.2","10.13","4.45","1.69",".248","64.0%","46.9%","21.6%","91.5","5.22","4.49","5.14","3.99","-0.4","13475","596057"
"Andrew Nardi","MIA","1","1","0","13","0","14.2","14.73","8.59","3.07",".500","68.8%","22.2%","21.7%","94.5","9.82","7.04","7.14","5.02","-0.4","25942","677053"
"Zach Logue","OAK","3","8","0","14","10","57.0","6.63","3.16","2.05",".306","64.1%","29.8%","13.4%","90.3","6.79","5.97","5.76","5.32","-0.4","20231","656657"
"Mike Minor","CIN","4","12","0","19","19","98.0","6.98","3.67","2.20",".312","71.2%","34.3%","16.4%","90.4","6.06","4.59","6.18","5.21","-0.4","10021","501985"
"Bryan Shaw","CLE","6","2","1","60","2","58.1","8.02","4.01","1.39",".288","66.3%","49.7%","15.5%","94.1","5.40","4.74","4.88","4.34","-0.4","8110","543766"
"Michael Pineda","DET","2","7","0","11","11","46.2","5.01","1.54","2.51",".294","73.2%","39.2%","18.1%","90.1","5.79","5.90","6.13","4.80","-0.4","5372","501381"
"Tyler Duffey","MIN","2","4","2","40","0","44.0","7.98","3.07","1.64",".303","74.3%","44.6%","23.5%","92.3","4.91","5.53","4.79","3.57","-0.5","13758","608648"
"Vladimir Gutierrez","CIN","1","6","0","10","8","36.2","7.12","5.89","1.96",".339","69.4%","33.6%","14.0%","93.0","7.61","5.75","6.82","6.29","-0.5","19278","661269"
"Cory Abbott","WSN","0","5","0","16","9","48.0","8.44","4.69","2.25",".248","76.9%","27.9%","14.3%","91.4","5.25","4.43","6.36","5.70","-0.5","20277","676265"
"Anderson Espinoza","CHC","0","2","0","7","0","18.1","9.33","7.85","1.96",".238","81.0%","43.5%","25.0%","94.0","5.40","5.49","7.15","5.60","-0.5","18593","659262"
"Jon Heasley","KCR","4","10","0","21","21","104.0","6.06","4.07","1.64",".276","69.9%","37.2%","12.3%","93.3","5.28","5.35","5.67","5.49","-0.5","22224","669169"
"Trevor Kelley","MIL","1","0","0","18","0","23.2","8.75","3.42","2.66",".273","72.5%","35.6%","21.9%","","6.08","4.20","6.41","4.56","-0.5","18454","665001"
"Anthony Castro","CLE","0","0","0","12","0","13.1","8.10","6.75","3.38",".368","63.6%","51.2%","41.7%","95.2","7.43","9.24","8.44","4.89","-0.5","19789","621593"
"Bryan Hoeing","MIA","1","1","0","8","1","12.2","4.26","3.55","3.55",".311","41.2%","51.0%","35.7%","93.5","12.08","8.64","8.48","4.99","-0.5","26304","663773"
"T.J. Zeuch","CIN","0","3","0","3","3","10.2","4.22","5.91","4.22",".432","59.3%","49.0%","31.3%","92.5","15.19","8.91","11.08","7.21","-0.5","19269","643615"
"Alec Mills","CHC","0","1","0","7","2","17.2","5.60","1.53","3.57",".350","57.9%","34.3%","22.6%","88.8","9.68","8.18","8.04","5.48","-0.6","13834","621219"
"Josiah Gray","WSN","7","10","0","28","28","148.2","9.32","4.00","2.30",".256","80.4%","33.0%","18.6%","94.4","5.02","4.25","5.86","4.57","-0.6","24580","680686"
"Ryan Borucki","- - -","2","0","0","32","0","25.1","7.46","3.91","2.13",".254","73.4%","48.7%","24.0%","","5.68","5.90","6.07","4.45","-0.6","16350","621366"
"Drew VerHagen","STL","3","1","0","19","0","21.2","7.48","5.82","2.08",".324","68.6%","33.8%","17.2%","95.1","6.65","6.29","6.53","5.51","-0.6","13424","572403"
"Jake Diekman","- - -","5","4","1","70","0","57.2","12.33","6.55","1.40",".328","69.4%","39.9%","17.0%","95.8","4.99","4.25","5.00","4.33","-0.6","5003","518617"
"Luis Patino","TBR","1","2","0","6","6","20.0","4.95","5.85","2.70",".299","69.6%","37.5%","16.2%","94.9","8.10","5.21","8.01","6.85","-0.6","22815","672715"
"Noe Ramirez","ARI","5","4","0","55","0","50.0","9.18","4.68","1.62",".286","68.4%","37.9%","16.4%","89.6","5.22","4.17","5.15","4.44","-0.6","12800","598287"
"Hansel Robles","BOS","1","3","2","26","0","24.2","7.66","5.11","1.82",".282","62.5%","39.5%","17.2%","96.2","5.84","6.49","5.75","4.85","-0.7","11801","570663"
"Heath Hembree","- - -","3","1","0","26","0","22.0","6.95","6.95","2.45",".299","69.4%","24.7%","17.6%","94.4","7.36","7.55","7.43","6.17","-0.7","11632","592390"
"Spencer Howard","TEX","2","4","0","10","8","37.2","7.65","3.58","2.87",".319","67.1%","39.2%","22.2%","94.4","7.41","5.53","6.83","4.81","-0.7","23252","675921"
"Yusei Kikuchi","TOR","6","7","1","32","20","100.2","11.09","5.19","2.06",".292","72.8%","43.9%","23.7%","94.9","5.19","5.63","5.62","4.07","-0.7","20633","579328"
"Sean Newcomb","- - -","2","1","0","20","1","27.2","9.11","6.18","2.60",".316","58.8%","31.4%","22.2%","94.5","8.78","6.53","6.91","5.07","-0.7","16943","656794"
"Kolby Allard","TEX","1","2","1","10","0","21.0","8.14","2.57","3.86",".231","71.4%","27.9%","32.1%","91.2","7.29","5.67","7.87","4.28","-0.7","18694","663465"
"Justin Dunn","CIN","1","3","0","7","7","31.0","6.10","4.94","3.19",".244","84.7%","29.5%","22.9%","92.3","6.10","8.75","8.31","5.99","-0.7","19268","643290"
"Caleb Smith","ARI","1","3","0","44","1","70.0","8.36","5.01","1.80",".235","80.1%","30.9%","13.6%","91.8","4.11","3.86","5.57","5.15","-0.8","14875","592761"
"Sergio Romo","- - -","0","1","0","23","0","18.0","7.00","3.00","3.50",".231","59.2%","17.2%","20.0%","85.2","7.50","5.31","7.61","5.44","-0.8","9817","489265"
"Matt Swarmer","CHC","2","3","0","11","5","34.0","9.53","5.29","3.18",".247","74.6%","35.1%","27.3%","90.6","5.03","5.63","7.35","4.68","-0.8","19705","664161"
"Bruce Zimmermann","BAL","2","5","0","15","13","73.2","5.99","1.47","2.57",".322","72.3%","39.8%","20.4%","90.8","5.99","6.49","6.06","4.42","-0.8","20370","669145"
"Kirk McCarty","CLE","4","3","0","13","2","37.2","6.21","3.11","2.63",".241","78.7%","39.3%","21.6%","92.6","4.54","5.31","6.64","4.85","-0.8","20555","668948"
"Genesis Cabrera","STL","4","2","1","39","0","44.2","6.45","4.03","1.61",".238","75.3%","44.2%","16.7%","96.2","4.63","4.94","5.62","4.88","-0.8","17490","650893"
"Mike Mayers","LAA","1","1","0","24","3","50.2","7.99","3.20","2.66",".259","72.5%","38.0%","20.8%","93.7","5.68","5.31","6.37","4.62","-0.9","15451","594577"
"Joe Smith","MIN","1","1","0","34","0","27.1","5.60","2.96","2.30",".295","75.3%","57.4%","26.9%","86.2","4.61","5.28","6.30","4.37","-0.9","3281","501925"
"Ian Kennedy","ARI","4","7","10","57","0","50.1","7.87","3.93","1.97",".299","72.8%","24.4%","13.9%","93.2","5.36","6.13","5.58","5.06","-0.9","6986","453178"
"Elieser Hernandez","MIA","3","6","0","20","10","62.1","8.66","3.18","2.74",".277","67.8%","27.4%","17.3%","91.6","6.35","4.81","6.40","5.05","-0.9","16933","622694"
"Elvin Rodriguez","DET","0","4","0","7","5","29.2","7.58","4.55","3.64",".333","55.8%","34.7%","25.5%","93.2","10.62","6.83","8.30","5.39","-1.0","20962","660730"
"Adam Oller","OAK","2","8","0","19","14","74.1","5.57","4.72","2.06",".279","68.5%","31.6%","13.4%","93.5","6.30","5.82","6.50","6.06","-1.1","20132","670124"
