"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Eli Morgan","CLE","5","3","0","50","1","66.2","9.72","1.76","1.35",".226","68.1%","30.4%","11.6%","92.2","3.38","2.90","3.58","3.54","0.6","20203","669212"
"Hunter Brown","HOU","2","0","0","7","2","20.1","9.74","3.10","0.00",".294","90.9%","68.0%","0.0%","96.7","0.89","2.96","1.98","2.78","0.6","25880","686613"
"Bailey Falter","PHI","6","4","0","20","16","84.0","7.93","1.82","1.71",".292","80.6%","31.7%","14.4%","91.6","3.86","4.62","4.65","4.13","0.6","20070","663559"
"Ian Gibaut","- - -","1","2","1","34","0","36.0","12.00","4.50","0.75",".400","74.3%","37.6%","8.3%","95.9","4.50","3.27","3.11","3.51","0.6","17871","664139"
"Davis Martin","CHW","3","6","0","14","9","63.1","6.82","2.70","1.14",".288","66.4%","36.7%","10.5%","94.1","4.83","4.71","4.28","4.42","0.6","21448","663436"
"Tyler Rogers","SFG","3","4","0","68","0","75.2","5.83","2.74","0.36",".293","69.2%","56.1%","4.9%","83.5","3.57","3.36","3.44","4.12","0.6","15541","643511"
"Justin Lawrence","COL","3","1","1","38","0","42.2","10.13","4.64","0.63",".350","63.7%","50.8%","9.4%","","5.70","3.54","3.39","3.59","0.6","17639","664875"
"Jake Woodford","STL","4","0","0","27","1","48.1","4.47","2.05","0.19",".278","78.4%","52.0%","2.3%","92.6","2.23","4.00","3.13","4.18","0.6","18674","663765"
"Andre Pallante","STL","6","5","0","47","10","108.0","6.08","3.33","0.75",".311","81.3%","63.9%","15.3%","95.3","3.17","3.78","3.98","3.71","0.6","26108","669467"
"Jalen Beeks","TBR","2","3","2","42","7","61.0","10.33","3.25","1.03",".282","80.7%","45.8%","13.5%","95.3","2.80","3.70","3.49","3.26","0.6","17192","656222"
"Connor Brogdon","PHI","2","2","2","47","0","44.0","10.23","2.25","1.23",".317","84.0%","31.1%","11.1%","95.3","3.27","3.17","3.43","3.47","0.6","21205","641401"
"Gregory Soto","DET","2","11","30","64","0","60.1","8.95","5.07","0.30",".294","66.5%","48.1%","3.4%","98.8","3.28","4.08","3.59","4.59","0.6","19677","642397"
"Kevin Ginkel","ARI","1","1","1","30","0","29.1","9.20","3.38","0.31",".321","66.5%","48.8%","3.8%","96.2","3.38","2.90","2.74","3.61","0.5","19876","656464"
"Jose Leclerc","TEX","0","3","7","39","0","47.2","10.20","3.97","0.94",".243","80.0%","29.2%","7.7%","96.4","2.83","3.17","3.72","4.38","0.5","14524","600917"
"Amir Garrett","KCR","3","1","0","60","0","45.1","9.73","6.35","0.00",".255","60.0%","38.9%","0.0%","94.2","4.96","3.62","3.40","4.77","0.5","14375","607237"
"Drey Jameson","ARI","3","0","0","4","4","24.1","8.88","2.59","0.74",".281","95.2%","56.1%","14.3%","95.6","1.48","4.49","3.19","2.98","0.5","26260","686753"
"Joey Wentz","DET","2","2","0","7","7","32.2","7.44","3.58","0.55",".228","70.2%","36.6%","5.0%","92.6","3.03","3.62","3.54","4.56","0.5","19962","666214"
"Zach Davies","ARI","2","5","0","27","27","134.1","6.83","3.48","1.41",".257","75.0%","42.9%","13.0%","","4.09","4.56","4.83","4.57","0.5","13183","605200"
"JP Sears","- - -","6","3","0","17","11","70.0","6.56","2.96","1.03",".289","75.5%","40.5%","9.2%","93.2","3.86","4.49","4.21","4.57","0.5","23429","676664"
"Wade Miley","CHC","2","2","0","9","8","37.0","6.81","3.41","0.73",".250","63.1%","52.6%","7.9%","89.2","3.16","3.89","3.95","4.42","0.5","8779","489119"
"Chad Kuhl","COL","6","11","0","27","27","137.0","7.23","3.81","1.64",".310","69.4%","36.6%","14.3%","93.6","5.72","5.31","5.26","4.78","0.5","14975","641771"
"Ryan Brasier","BOS","0","3","1","68","0","62.1","9.24","1.88","1.30",".335","56.2%","40.5%","12.2%","96.0","5.78","3.97","3.61","3.49","0.5","5615","518489"
"Adbert Alzolay","CHC","2","1","0","6","0","13.1","12.83","1.35","0.68",".276","66.0%","40.0%","8.3%","95.0","3.38","2.22","1.91","2.27","0.5","17859","640470"
"Kutter Crawford","BOS","3","6","0","21","12","77.1","8.96","3.38","1.40",".322","66.2%","31.3%","11.4%","94.7","5.47","4.62","4.34","4.33","0.5","20531","676710"
"Joe Kelly","CHW","1","3","1","43","1","37.0","12.89","5.59","0.49",".382","60.8%","64.4%","10.0%","96.6","6.08","3.15","3.06","3.16","0.5","9761","523260"
"Yency Almonte","LAD","0","0","1","33","0","35.1","8.41","2.55","0.51",".186","95.9%","48.9%","6.9%","95.8","1.02","3.01","3.17","3.65","0.5","15068","622075"
"Kris Bubic","KCR","3","13","0","28","27","129.0","7.67","4.40","1.26",".352","68.8%","41.0%","13.3%","91.9","5.58","5.67","4.78","4.51","0.5","21455","663460"
"Zach Pop","- - -","4","0","0","35","0","39.0","5.77","0.92","0.46",".315","76.9%","56.8%","6.7%","","2.77","3.36","2.96","3.43","0.5","20185","647315"
"Chris Archer","MIN","2","8","0","25","25","102.2","7.36","4.21","1.05",".259","67.7%","43.7%","10.8%","93.2","4.56","4.81","4.49","4.57","0.5","6345","502042"
"Paul Sewald","SEA","5","4","20","65","0","64.0","10.13","2.39","1.41",".158","82.1%","30.6%","13.3%","92.5","2.67","2.64","3.88","3.58","0.5","13892","623149"
"Tim Hill","SDP","3","0","0","55","0","48.0","4.69","2.63","0.19",".284","69.8%","60.0%","2.8%","91.5","3.56","3.08","3.47","4.31","0.5","16814","657612"
"Dillon Tate","BAL","4","4","5","67","0","73.2","7.33","1.95","0.73",".251","71.2%","57.4%","12.2%","","3.05","3.15","3.48","3.40","0.5","17796","622253"
"Keegan Akin","BAL","3","3","2","45","1","81.2","8.49","2.20","1.10",".267","72.4%","49.3%","13.5%","93.7","3.20","3.62","3.59","3.34","0.5","19362","669211"
"Madison Bumgarner","ARI","7","15","0","30","30","158.2","6.35","2.78","1.42",".306","69.3%","36.9%","11.5%","91.0","4.88","5.53","4.85","4.83","0.5","5524","518516"
"Daulton Jefferies","OAK","1","7","0","8","8","39.1","6.41","1.83","0.92",".323","59.5%","46.6%","8.0%","92.8","5.72","3.75","3.77","4.33","0.5","19345","641726"
"Luke Weaver","- - -","1","1","0","26","1","35.2","9.59","3.28","0.25",".429","58.6%","40.0%","2.8%","94.8","6.56","5.45","2.69","3.82","0.5","16918","596133"
"Clarke Schmidt","NYY","5","5","2","29","3","57.2","8.74","3.59","0.78",".273","75.0%","42.1%","8.6%","94.7","3.12","3.51","3.60","3.96","0.5","19899","657376"
"Shawn Armstrong","- - -","2","3","2","50","3","61.2","9.63","2.48","1.02",".337","71.2%","47.5%","11.5%","95.5","4.38","3.27","3.47","3.46","0.5","12857","542888"
"Richard Bleier","MIA","2","2","1","55","1","50.2","5.68","1.78","0.53",".341","74.5%","52.5%","7.0%","90.9","3.55","3.78","3.27","3.76","0.5","7803","542947"
"Jose Quijada","LAA","0","5","3","42","0","40.2","11.51","4.65","1.11",".225","70.7%","33.0%","9.6%","94.6","3.98","2.87","3.85","4.14","0.5","19200","650671"
"Caleb Ferguson","LAD","1","0","0","37","1","34.2","9.61","4.41","0.26",".259","81.3%","42.4%","3.4%","94.7","1.82","3.05","3.00","3.86","0.5","19349","657571"
"Nick Martinez","SDP","4","4","8","47","10","106.1","8.04","3.47","1.27",".276","80.8%","47.4%","14.4%","93.5","3.47","3.83","4.43","4.04","0.5","12730","607259"
"Mike Clevinger","SDP","7","7","0","23","22","114.1","7.16","2.76","1.57",".249","76.5%","35.2%","12.6%","93.5","4.33","4.65","4.98","4.76","0.4","12808","605182"
"Peter Strzelecki","MIL","2","1","1","30","0","35.0","10.29","3.86","0.51",".289","75.2%","31.1%","5.3%","93.5","2.83","3.39","2.94","3.81","0.4","21367","657265"
"Packy Naughton","STL","0","2","1","26","3","32.0","8.72","1.97","0.84",".364","70.1%","49.5%","9.7%","92.9","4.78","3.75","3.14","3.36","0.4","23292","676050"
"Will Vest","DET","3","3","1","59","2","63.0","9.00","3.14","0.86",".315","72.5%","49.7%","12.0%","95.3","4.00","4.02","3.54","3.48","0.4","19769","676684"
"Seth Martinez","HOU","1","1","0","29","0","38.2","8.84","3.26","0.70",".232","84.2%","41.6%","7.1%","92.0","2.09","2.76","3.32","3.92","0.4","21045","661527"
"Ron Marinaccio","NYY","1","0","0","40","0","44.0","11.45","4.91","0.41",".215","81.3%","41.5%","4.7%","94.6","2.05","2.70","3.20","4.06","0.4","23488","676760"
"DL Hall","BAL","1","1","1","11","1","13.2","12.51","3.95","0.00",".436","60.9%","46.2%","0.0%","96.4","5.93","2.57","1.65","2.84","0.4","22207","669084"
"Vince Velasquez","CHW","3","3","0","27","9","75.1","8.24","2.99","1.31",".269","66.6%","35.7%","10.2%","93.3","4.78","4.65","4.25","4.48","0.4","11189","592826"
"Dany Jimenez","OAK","3","4","11","34","0","34.1","8.91","4.72","0.52",".231","65.4%","40.9%","4.9%","94.2","3.41","2.81","3.46","4.47","0.4","21170","666204"
"Javier Assad","CHC","2","2","0","9","8","37.2","7.17","4.78","0.96",".277","83.0%","38.8%","8.7%","93.0","3.11","4.49","4.49","4.92","0.4","21741","665871"
"Alex Young","- - -","1","1","0","25","1","26.2","7.09","3.71","0.00",".349","73.2%","54.2%","0.0%","91.5","2.36","3.64","2.89","4.05","0.4","18333","622065"
"Trevor Megill","MIN","4","3","0","39","0","45.0","9.80","3.40","0.80",".368","62.5%","45.0%","9.5%","98.0","4.80","4.91","3.29","3.52","0.4","17722","656730"
"Jonathan Loaisiga","NYY","2","3","2","50","0","48.0","6.94","3.56","0.56",".278","64.0%","59.6%","9.1%","98.1","4.13","3.46","3.57","3.78","0.4","19753","642528"
"Garrett Cleavinger","- - -","1","1","0","17","0","23.0","12.52","2.74","0.78",".240","52.1%","37.3%","9.5%","96.3","3.91","3.29","2.50","2.72","0.4","17897","664076"
"Jackson Stephens","ATL","3","3","2","39","1","53.2","7.88","3.86","0.50",".289","60.7%","46.3%","6.7%","94.1","3.69","3.86","3.54","4.06","0.4","14420","623451"
"Erick Fedde","WSN","6","13","0","27","27","127.0","6.66","4.11","1.49",".320","69.3%","41.9%","14.1%","","5.81","5.45","5.15","4.74","0.4","17425","607200"
"Ryan Thompson","TBR","3","3","3","47","0","42.2","8.23","2.32","0.84",".280","60.3%","51.2%","10.3%","91.9","3.80","3.05","3.42","3.55","0.4","16647","657044"
"Tanner Scott","MIA","4","5","20","67","0","62.2","12.93","6.61","0.72",".347","72.4%","46.3%","13.2%","96.9","4.31","4.17","3.67","3.53","0.4","17586","656945"
"Kyle Nelson","ARI","2","1","0","43","1","37.0","7.30","3.41","0.24",".243","79.3%","40.6%","2.6%","91.7","2.19","4.02","3.22","4.39","0.4","20515","669459"
"Joely Rodriguez","NYM","2","4","0","55","0","50.1","10.19","4.65","0.54",".302","63.3%","53.8%","8.8%","92.8","4.47","3.62","3.23","3.46","0.4","11487","570257"
"Dylan Coleman","KCR","5","2","0","68","0","68.0","9.40","4.90","0.66",".247","77.1%","41.4%","7.5%","97.7","2.78","3.78","3.88","4.38","0.4","22276","669395"
"Cody Stashak","MIN","3","0","0","11","0","16.1","8.27","0.00","0.55",".306","61.6%","26.0%","3.8%","90.9","3.86","2.83","2.07","3.63","0.4","18088","664054"
"Aaron Loup","LAA","0","5","1","65","0","58.2","7.98","3.38","0.61",".287","58.7%","49.7%","8.2%","","3.84","4.34","3.76","4.11","0.4","10343","571901"
"Erasmo Ramirez","WSN","4","2","0","60","2","86.1","6.36","1.46","1.15",".267","81.3%","45.2%","12.2%","93.9","2.92","3.49","4.05","3.94","0.4","10314","541640"
"Carlos Estevez","COL","4","4","2","62","0","57.0","8.53","3.63","1.11",".247","70.4%","36.1%","10.1%","97.5","3.47","4.17","4.08","4.27","0.4","14542","608032"
