Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
1,Cory Abbott,26,WSN,48.0,16,9,30,5.63,4.74,-0.25,0.12,0.00,93.0,4.76,-5,-0.5,.11,0.0,0.0,0,.470,.497,,Waivers,abbotco01
2,Albert Abreu,26,3TM,38.2,33,0,15,3.49,4.34,0.46,-0.29,0.00,100.7,3.62,1,0.1,.60,-0.1,0.3,4,.502,.500,,Traded,abreual01
3,Bryan Abreu,25,HOU,60.1,55,0,16,2.39,4.20,0.37,-0.28,0.09,98.5,3.58,8,0.9,.93,-0.2,1.3,13,.517,.506,,Amateur Free Agent,abreubr01
4,Domingo Acevedo,28,OAK,67.2,70,0,26,3.46,4.34,-0.15,-0.29,0.08,95.9,4.11,5,0.6,1.43,0.0,1.2,11,.508,.504,,Free Agency,acevedo01
5,Jason Adam,30,TBR,63.1,67,0,12,1.71,4.37,0.11,-0.29,0.17,93.2,3.86,15,1.7,1.58,0.3,2.7,21,.525,.511,$900000,Free Agency,adamja01
6,Austin Adams,31,SDP,2.1,2,0,0,0.00,4.51,0.08,-0.30,0.00,98.0,4.05,1,0.1,.20,-0.1,0.1,1,.558,.501,$925000,Traded,adamsau02
7,Joan Adon,23,WSN,64.2,14,14,53,7.38,4.34,-0.28,0.20,0.00,98.1,4.72,-19,-1.8,,-0.1,-1.2,-13,.372,.489,,,adonjo01
8,Ehire Adrianza,32,WSN,1.0,1,0,0,0.00,4.84,-0.19,-0.32,0.00,92.0,4.33,0,0.1,.00,0.0,0.0,1,.553,.500,$1500000,Free Agency,adriaeh01
9,Keegan Akin*,27,BAL,81.2,45,1,35,3.86,4.38,0.22,-0.28,0.07,102.5,4.05,2,0.2,.86,-0.2,0.8,9,.505,.501,,Amateur Draft,akinke01
10,Hanser Alberto,29,LAD,11.0,10,0,5,4.09,4.53,0.72,-0.30,0.00,108.3,3.80,0,0.0,.00,0.0,0.1,1,.496,.500,$1350000,Free Agency,alberha01
11,Jorge Alcala,26,MIN,2.1,2,0,0,0.00,4.49,0.17,-0.30,0.00,98.0,3.95,1,0.1,.69,0.0,0.1,1,.558,.501,,Traded,alcaljo01
12,Sandy Alcantara,26,MIA,228.2,32,32,67,2.64,4.60,0.10,0.21,0.00,98.0,4.61,50,5.9,,-0.2,7.8,71,.683,.536,$3800000,Traded,alcansa01
13,Jason Alexander,29,MIL,71.2,18,11,47,5.90,4.36,0.37,0.13,0.00,98.2,4.03,-15,-1.5,.48,0.0,-0.8,-8,.418,.491,,Free Agency,alexaja01
14,Scott Alexander*,32,SFG,17.1,17,4,2,1.04,4.51,-0.35,-0.24,0.33,102.4,5.07,8,0.8,1.31,0.1,1.1,9,.550,.505,,Free Agency,alexasc02
15,Tyler Alexander*,27,DET,101.0,27,17,58,5.17,4.27,0.19,0.10,0.00,99.1,4.14,-11,-1.2,.92,-0.1,-0.3,-3,.457,.493,,Amateur Draft,alexaty01
16,A.J. Alexy,24,TEX,7.0,4,0,9,11.57,4.38,0.07,-0.29,0.00,106.1,4.26,-6,-0.5,.71,0.1,-0.4,-5,.365,.497,,Traded,alexyaj01
17,Kolby Allard*,24,TEX,21.0,10,0,17,7.29,4.41,0.06,-0.20,0.27,101.1,4.47,-6,-0.7,.88,0.0,-0.5,-5,.434,.496,,Traded,allarko01
18,Cam Alldred*,25,PIT,1.0,1,0,0,0.00,3.73,0.00,-0.25,0.00,104.0,3.61,0,0.0,.65,0.0,0.0,0,.544,.500,,Amateur Draft,alldrca01
19,Logan Allen*,25,2TM,7.2,7,0,5,5.87,4.23,0.52,-0.28,0.00,101.5,3.47,-2,-0.2,.97,0.0,-0.1,-1,.470,.499,,Waivers,allenlo01
20,Yency Almonte,28,LAD,35.1,33,0,4,1.02,4.37,0.47,-0.29,0.00,104.4,3.77,11,1.2,1.08,0.0,1.5,14,.535,.507,,Free Agency,almonye01
21,José Alvarado*,27,PHI,51.0,59,0,21,3.71,4.41,-0.24,-0.29,0.22,99.5,4.55,5,0.5,1.41,0.0,1.0,9,.509,.503,$1900000,Traded,alvarjo03
22,Jose Alvarez*,33,SFG,15.1,21,0,10,5.87,4.49,-0.38,-0.30,0.36,102.1,5.03,-1,-0.2,1.24,-0.1,-0.1,0,.493,.499,$1500000,Free Agency,alvarjo02
23,R.J. Alvarez,31,NYM,2.1,1,0,3,11.57,4.83,-0.01,-0.32,0.00,100.0,4.51,-2,-0.2,.99,0.0,-0.2,-2,.335,.499,,Free Agency,alvarrj01
24,Adbert Alzolay,27,CHC,13.1,6,0,5,3.38,3.83,0.01,-0.26,0.00,105.7,3.76,1,0.1,1.41,0.0,0.2,2,.510,.500,,Amateur Free Agent,alzolad01
25,Chase Anderson,34,CIN,24.0,9,7,18,6.75,4.43,-0.18,0.17,0.24,106.7,5.34,-4,-0.4,1.98,0.0,-0.2,-2,.457,.498,,Free Agency,anderch01
26,Ian Anderson,24,ATL,111.2,22,22,63,5.08,4.23,0.20,0.19,0.00,99.2,4.19,-11,-1.1,,-0.1,-0.2,-1,.449,.493,,Amateur Draft,anderia01
27,Shaun Anderson,27,TOR,1.0,1,0,2,18.00,4.30,0.69,-0.29,0.00,100.0,3.32,-2,-0.2,.03,0.1,-0.1,-2,.348,.499,,Waivers,andersh01
28,Tyler Anderson*,32,LAD,178.2,30,28,57,2.87,4.31,0.55,0.17,0.00,104.7,4.11,24,2.7,1.10,-0.2,4.3,41,.591,.517,$8000000,Free Agency,anderty01
29,Mark Appel,30,PHI,10.1,6,0,2,1.74,4.45,-0.35,-0.30,0.00,100.7,4.54,3,0.4,.17,-0.2,0.3,4,.559,.502,,Traded,appelma01
30,Víctor Arano,27,WSN,42.0,43,0,30,6.43,4.40,-0.26,-0.29,0.26,96.3,4.47,-9,-1.0,1.10,-0.2,-0.7,-5,.478,.494,,Free Agency,aranovi01
31,Chris Archer,33,MIN,102.2,25,25,56,4.91,4.29,0.20,0.19,0.00,97.8,4.19,-8,-0.8,,-0.1,0.1,1,.467,.495,$2750000,Free Agency,archech01
32,Orlando Arcia,27,ATL,1.0,1,0,0,0.00,4.84,0.21,-0.32,0.00,100.0,4.31,0,0.1,.00,0.0,0.0,1,.553,.500,$1600000,Traded,arciaor01
33,Kohei Arihara,29,TEX,20.0,5,4,22,9.90,4.13,0.09,0.14,0.00,102.7,4.31,-12,-1.1,.31,0.0,-0.9,-11,.288,.493,$3600000,Free Agency,arihako01
34,Shawn Armstrong,31,2TM,61.2,50,3,32,4.67,4.40,0.15,-0.23,0.00,97.1,3.90,-5,-0.5,.77,0.1,0.2,0,.491,.500,$700000,Free Agency,armstsh01
35,Aaron Ashby*,24,MIL,107.1,27,19,62,5.20,4.29,0.30,0.10,0.00,97.4,3.98,-15,-1.5,.83,-0.1,-0.6,-5,.445,.491,$704500,Amateur Draft,ashbyaa01
36,Graham Ashcraft,24,CIN,105.0,19,19,61,5.23,4.40,-0.23,0.20,0.00,110.0,5.32,1,0.1,,-0.1,1.0,11,.505,.501,,Amateur Draft,ashcrgr01
37,Javier Assad,24,CHC,37.2,9,8,14,3.35,4.43,0.02,0.19,0.00,101.9,4.68,6,0.6,.47,0.0,0.9,9,.568,.504,,Free Agency,assadja01
38,Willians Astudillo,30,MIA,2.0,2,0,0,0.00,4.14,0.09,-0.27,0.00,108.6,4.10,1,0.1,.00,-0.1,0.1,1,.550,.501,,Free Agency,astudwi01
39,Pedro Avila,25,SDP,4.0,2,0,3,6.75,4.95,0.12,-0.33,0.00,84.0,3.78,-1,-0.1,.03,0.1,0.0,-1,.434,.499,,Free Agency,avilape01
40,Michel Báez,26,SDP,2.0,2,0,0,0.00,4.11,0.11,-0.27,0.00,84.0,3.13,1,0.1,.01,0.0,0.1,1,.538,.500,,Amateur Free Agent,baezmi01
41,Pedro Báez,34,HOU,2.1,3,0,6,23.14,4.06,0.82,-0.27,0.00,97.5,2.90,-5,-0.5,.02,0.2,-0.2,-5,.339,.497,$5750000,Free Agency,baezpe01
42,Bryan Baker,27,BAL,69.2,66,2,29,3.75,4.47,0.21,-0.28,0.32,102.9,4.43,6,0.6,1.17,-0.1,1.2,11,.509,.504,,Waivers,bakerbr01
43,Anthony Banda*,28,3TM,26.2,32,1,20,6.75,4.49,0.09,-0.29,0.00,99.1,4.06,-8,-0.8,.73,0.1,-0.5,-6,.475,.498,,Free Agency,bandaan01
44,Tanner Banks*,30,CHW,53.0,35,0,25,4.25,4.27,-0.14,-0.25,0.00,101.3,4.22,0,0.0,.46,-0.1,0.4,5,.500,.500,,Amateur Draft,banksta01
45,Manny Banuelos*,31,2TM,41.0,35,0,23,5.05,4.49,0.14,-0.30,0.14,101.0,4.23,-4,-0.4,1.11,-0.2,-0.2,0,.489,.497,,Free Agency,banuema01
46,Daniel Bard,37,COL,60.1,57,0,15,2.24,4.49,0.03,-0.30,0.38,115.0,5.22,20,2.2,2.05,1.0,3.7,25,.538,.513,$4400000,Free Agency,bardda01
47,Luke Bard,31,2TM,15.0,9,0,3,1.80,4.40,0.19,-0.29,0.37,94.0,4.03,4,0.4,.85,-0.1,0.5,5,.547,.502,,Waivers,bardlu01
48,Luke Barker,30,MIL,4.0,3,0,5,11.25,4.61,0.44,-0.31,0.00,93.5,3.61,-3,-0.3,.03,0.1,-0.1,-3,.391,.498,,Free Agency,barkelu01
49,Joe Barlow,26,TEX,35.0,35,0,18,4.63,4.35,0.06,-0.29,0.48,100.6,4.50,0,0.0,1.29,-0.1,0.2,3,.499,.500,,Amateur Draft,barlojo01
50,Scott Barlow,29,KCR,74.1,69,0,23,2.78,4.26,-0.21,-0.28,0.15,105.9,4.59,15,1.7,1.70,0.4,2.8,22,.524,.510,$2400000,Free Agency,barlosc01
51,Jacob Barnes,32,2TM,22.1,23,0,14,5.64,4.51,0.23,-0.30,0.00,96.6,3.84,-4,-0.5,.64,0.0,-0.2,-2,.480,.497,$700000,Free Agency,barneja01
52,Matt Barnes,32,BOS,39.2,44,0,22,4.99,4.31,0.05,-0.29,0.42,109.8,4.83,-1,-0.1,1.49,-0.1,0.2,3,.499,.500,$8125000,Amateur Draft,barnema01
53,Tucker Barnhart,31,DET,1.0,1,0,1,9.00,4.16,0.29,-0.28,0.00,94.0,3.38,-1,-0.1,.00,0.0,0.0,-1,.436,.500,$7500000,Traded,barnhtu01
54,Kyle Barraclough,32,LAA,9.0,8,0,3,3.00,4.21,0.09,-0.28,0.00,103.2,3.96,1,0.1,.96,0.0,0.2,2,.514,.501,,,barraky01
55,Jaime Barria,25,LAA,79.1,35,1,29,3.29,4.42,0.11,-0.21,0.42,101.9,4.60,12,1.3,1.05,-0.1,2.0,19,.538,.508,,Amateur Free Agent,barrija01
56,Anthony Bass,34,2TM,70.1,73,0,15,1.92,4.40,0.15,-0.29,0.16,100.1,4.12,17,1.9,1.33,0.1,2.7,24,.526,.506,$3000000,Free Agency,bassan01
57,Chris Bassitt,33,NYM,181.2,30,30,71,3.52,4.36,-0.01,0.20,0.00,93.2,4.26,15,1.6,,-0.2,3.2,32,.554,.510,$8650000,Traded,bassich01
58,Matthew Batten,27,SDP,2.0,2,0,1,4.50,4.77,0.15,-0.32,0.00,95.0,4.08,0,0.0,.00,0.0,0.0,0,.495,.500,,Amateur Draft,battema01
59,Mike Baumann,26,BAL,34.1,13,4,19,4.98,4.53,0.26,-0.03,0.00,105.9,4.49,-2,-0.2,.90,0.0,0.1,1,.486,.499,,Amateur Draft,baumami01
60,Félix Bautista,27,BAL,65.2,65,0,18,2.47,4.47,0.17,-0.30,0.25,103.7,4.42,15,1.6,1.65,0.4,2.6,20,.525,.510,,Free Agency,bautife01
61,Shane Baz,23,TBR,27.0,6,6,15,5.00,4.58,0.15,0.21,0.00,98.7,4.58,-1,-0.1,,0.0,0.1,1,.480,.499,,Traded,bazsh01
62,Eduard Bazardo,26,BOS,16.1,12,0,5,2.76,4.34,0.05,-0.29,0.00,109.0,4.36,3,0.3,.32,-0.2,0.3,4,.528,.502,,Amateur Free Agent,bazared01
63,Jeremy Beasley,26,TOR,15.0,9,0,9,5.40,4.47,0.25,-0.30,0.00,101.4,3.98,-2,-0.2,.09,0.1,0.0,-1,.473,.498,,Purchased,beaslje01
64,David Bednar,27,PIT,51.2,45,0,19,3.31,4.39,0.00,-0.29,0.32,101.4,4.48,7,0.7,1.81,0.1,1.4,11,.516,.504,,Traded,bednada01
65,Tyler Beede,29,2TM,61.1,31,5,37,5.43,4.45,-0.07,-0.18,0.00,101.6,4.42,-7,-0.7,.55,-0.1,-0.2,-1,.477,.496,,Waivers,beedety01
66,Jalen Beeks*,28,TBR,61.0,42,7,22,3.25,4.33,0.14,-0.24,0.36,94.2,4.06,6,0.6,1.31,0.0,1.2,11,.515,.504,$750000,Traded,beeksja02
67,Andrew Bellatti,30,PHI,54.1,59,1,25,4.14,4.45,-0.26,-0.29,0.41,98.9,4.78,4,0.4,1.16,-0.1,0.8,9,.507,.502,,Free Agency,bellaan01
68,Brayan Bello,23,BOS,57.1,13,11,34,5.34,4.56,0.05,0.20,0.00,108.6,5.11,-1,-0.1,.49,0.0,0.4,4,.490,.499,,Free Agency,bellobr01
69,Anthony Bender,27,MIA,19.1,22,0,7,3.26,4.52,0.10,-0.30,0.00,98.2,4.04,2,0.2,1.90,0.0,0.4,3,.508,.501,,Free Agency,bendean01
70,Brennan Bernardino*,30,SEA,2.1,2,0,3,11.57,3.99,0.45,-0.27,2.38,91.8,5.20,-2,-0.2,1.37,0.0,-0.2,-1,.417,.499,,Free Agency,bernabr01
71,José Berríos,28,TOR,172.0,32,32,103,5.39,4.40,0.31,0.20,0.00,100.3,4.31,-20,-2.0,,-0.1,-0.6,-5,.436,.487,$10714286,Traded,berrijo01
72,Christian Bethancourt,30,2TM,4.0,4,0,1,2.25,4.50,0.14,-0.30,0.00,100.5,4.08,1,0.1,.01,-0.1,0.1,1,.523,.500,,Free Agency,bethach01
73,Phil Bickford,26,LAD,61.0,60,0,33,4.87,4.33,0.51,-0.29,0.00,104.4,3.68,-8,-0.8,.64,0.0,-0.3,-2,.486,.495,,Waivers,bickfph01
74,Shane Bieber,27,CLE,200.0,31,31,70,3.15,4.16,0.47,0.19,0.00,99.6,3.86,17,1.9,,-0.1,3.6,34,.561,.512,$6000000,Amateur Draft,biebesh01
75,Brandon Bielak,26,HOU,12.1,5,0,5,3.65,4.43,0.49,-0.29,0.00,99.4,3.62,0,0.0,.39,0.0,0.1,1,.501,.500,,Amateur Draft,bielabr01
76,Jake Bird,26,COL,47.2,38,0,29,5.48,4.67,0.04,-0.31,0.35,115.1,5.38,-1,-0.1,.87,-0.1,0.3,4,.498,.500,,Amateur Draft,birdja01
77,Ty Blach*,31,COL,44.1,24,1,29,5.89,4.53,0.05,-0.22,0.00,114.7,4.88,-5,-0.5,.54,0.0,-0.1,-1,.478,.497,,Free Agency,blachty01
78,Paul Blackburn,28,OAK,111.1,21,21,53,4.28,4.32,-0.17,0.20,0.00,96.5,4.53,3,0.4,,-0.1,1.3,13,.518,.502,,Traded,blackpa01
79,Ronel Blanco,28,HOU,6.1,7,0,5,7.11,4.32,0.54,-0.29,0.00,97.1,3.39,-3,-0.3,.51,0.1,-0.2,-2,.461,.498,,Free Agency,blancro01
80,Richard Bleier*,35,MIA,50.2,55,1,22,3.91,4.56,0.13,-0.30,0.22,99.6,4.32,2,0.2,1.03,-0.1,0.6,7,.504,.501,$2250000,Traded,bleieri01
81,Ronald Bolaños,25,KCR,18.1,8,0,9,4.42,4.49,-0.27,-0.30,0.00,110.2,4.91,1,0.1,.46,-0.1,0.2,3,.515,.501,,Traded,bolanro01
82,Ryan Borucki*,28,2TM,25.1,32,0,16,5.68,4.41,0.29,-0.29,0.43,95.0,4.04,-5,-0.5,1.03,-0.1,-0.3,-2,.485,.499,$825000,Traded,borucry01
83,Brad Boxberger,34,MIL,64.0,70,0,23,3.23,4.32,0.29,-0.29,0.17,97.9,3.83,4,0.4,1.78,0.0,1.1,10,.506,.503,$1750000,Free Agency,boxbebr01
84,Matthew Boyd*,31,SEA,13.1,10,0,2,1.35,3.97,0.22,-0.26,0.41,95.5,3.73,4,0.4,.68,-0.1,0.4,5,.540,.502,,Traded,boydma01
85,Silvino Bracho,29,ATL,4.1,3,0,3,6.23,3.70,0.19,-0.25,0.00,104.4,3.41,-1,-0.1,.31,0.0,-0.1,-1,.454,.499,,Purchased,brachsi01
86,Kyle Bradish,25,BAL,117.2,23,23,68,5.20,4.55,0.22,0.21,0.00,104.2,4.73,-6,-0.6,,-0.1,0.4,4,.474,.496,,Traded,bradiky01
87,Archie Bradley,29,LAA,18.2,21,0,13,6.27,4.54,0.11,-0.30,0.00,103.1,4.26,-4,-0.4,1.59,-0.2,-0.4,-3,.479,.497,$3750000,Free Agency,bradlar01
88,Jackie Bradley Jr.,32,BOS,1.0,1,0,1,9.00,5.00,0.05,-0.33,0.00,116.0,5.35,0,0.0,.01,0.0,0.0,0,.458,.500,$9500000,Traded,bradlja02
89,Matt Brash,24,SEA,50.2,39,5,25,4.44,4.29,0.23,-0.09,0.22,95.5,3.99,-2,-0.2,1.19,-0.1,0.1,2,.494,.498,,Traded,brashma01
90,Ryan Brasier,34,BOS,62.1,68,0,43,6.21,4.47,0.05,-0.30,0.18,108.6,4.67,-10,-1.1,1.31,-0.3,-0.8,-5,.484,.493,$1400000,Free Agency,brasiry01
91,Steven Brault*,30,CHC,9.0,9,0,4,4.00,4.81,0.02,-0.32,0.62,99.0,5.04,1,0.1,1.62,0.0,0.2,2,.512,.501,,Free Agency,braulst01
92,Huascar Brazoban,32,MIA,32.0,27,0,13,3.66,4.66,0.09,-0.31,0.35,100.8,4.64,3,0.4,1.29,0.0,0.7,6,.514,.502,,Free Agency,brazohu01
93,John Brebbia,32,SFG,68.0,76,11,27,3.57,4.48,-0.37,-0.23,0.16,99.8,4.78,9,1.0,1.32,0.0,1.6,15,.513,.506,$838000,Free Agency,brebbjo01
94,Jake Brentz*,27,KCR,5.1,8,0,15,25.31,4.53,-0.28,-0.30,0.00,106.2,4.78,-12,-1.1,1.36,-0.2,-1.3,-12,.357,.493,,Free Agency,brentja01
95,Austin Brice,30,PIT,6.2,4,0,3,4.05,4.42,0.00,-0.30,0.00,99.3,4.10,0,0.0,.26,0.0,0.1,1,.501,.500,,Free Agency,briceau01
96,Beau Brieske,24,DET,81.2,15,15,39,4.30,4.35,0.18,0.20,0.00,98.3,4.30,0,0.0,,-0.1,0.8,7,.503,.500,,Amateur Draft,briesbe01
97,Jeff Brigham,30,MIA,24.0,16,0,10,3.75,4.45,0.10,-0.30,0.23,100.8,4.32,1,0.2,1.30,0.0,0.4,4,.510,.501,,Traded,brighje01
98,Zack Britton*,34,NYY,0.2,3,0,1,13.50,6.57,0.73,-0.43,0.00,100.0,5.41,-1,-0.1,1.40,0.0,-0.1,-1,.479,.500,$14000000,Free Agency,brittza01
99,Connor Brogdon,27,PHI,44.0,47,0,16,3.27,4.38,-0.32,-0.29,0.13,99.7,4.53,6,0.6,.97,-0.1,1.0,10,.514,.504,,Amateur Draft,brogdco01
100,Aaron Brooks,32,STL,9.1,5,0,8,7.71,4.16,0.46,-0.28,0.00,91.8,3.14,-5,-0.5,.21,0.2,-0.2,-4,.407,.497,,Free Agency,brookaa01
101,Mike Brosseau,28,MIL,3.0,3,0,0,0.00,4.33,0.45,-0.29,0.00,97.1,3.49,1,0.1,.00,-0.1,0.1,1,.542,.501,,Traded,brossmi01
102,Hunter Brown,23,HOU,20.1,7,2,2,0.89,4.21,0.43,0.00,0.00,95.7,3.62,6,0.7,.59,-0.1,0.8,8,.604,.504,,Amateur Draft,brownhu01
103,JT Brubaker,28,PIT,144.0,28,28,85,5.31,4.45,0.00,0.20,0.00,100.2,4.67,-11,-1.1,,-0.1,0.2,3,.462,.493,,Amateur Draft,brubajt01
104,Justin Bruihl*,25,LAD,23.2,24,0,11,4.18,4.46,0.62,-0.30,0.23,103.1,3.89,-1,-0.1,1.24,-0.1,0.1,1,.497,.499,,Amateur Free Agent,bruihju01
105,Kris Bubic*,24,KCR,129.0,28,27,87,6.07,4.37,-0.26,0.20,0.00,104.5,5.04,-14,-1.5,.03,-0.1,-0.3,-3,.448,.491,,Amateur Draft,bubickr01
106,Walker Buehler,27,LAD,65.0,12,12,30,4.15,4.22,0.57,0.19,0.00,104.8,4.03,-1,-0.1,,-0.1,0.5,5,.491,.499,$4250000,Amateur Draft,buehlwa01
107,Madison Bumgarner*,32,ARI,158.2,30,30,97,5.50,4.48,0.34,0.20,0.00,99.4,4.32,-21,-2.1,,-0.1,-0.7,-6,.430,.487,$23000000,Free Agency,bumgama01
108,Aaron Bummer*,28,CHW,26.2,32,0,11,3.71,4.25,-0.14,-0.28,0.62,99.4,4.71,3,0.3,1.35,0.0,0.6,5,.510,.502,$2500000,Amateur Draft,bummeaa01
109,Dylan Bundy,29,MIN,140.0,29,29,79,5.08,4.23,0.22,0.19,0.00,98.5,4.14,-14,-1.5,,-0.1,-0.2,-2,.450,.491,$4000000,Free Agency,bundydy01
110,Brock Burke*,25,TEX,82.1,52,0,25,2.73,4.30,0.06,-0.29,0.07,101.0,4.07,13,1.4,1.17,-0.1,2.1,20,.527,.509,,Traded,burkebr01
111,Corbin Burnes,27,MIL,202.0,33,33,73,3.25,4.42,0.27,0.20,0.00,96.0,4.18,21,2.3,,-0.2,4.0,39,.569,.514,$6500000,Amateur Draft,burneco01
112,Ryan Burr,28,CHW,9.0,8,0,7,7.00,4.35,-0.16,-0.29,0.62,106.5,5.15,-2,-0.2,1.24,0.0,-0.2,-1,.476,.499,,Free Agency,burrry01
113,Matt Bush,36,2TM,59.2,65,6,31,4.68,4.26,0.14,-0.25,0.19,99.8,4.05,-4,-0.4,1.45,-0.3,-0.1,1,.494,.499,,Traded,bushma01
114,José Butto,24,NYM,4.0,1,1,7,15.75,4.85,-0.01,0.22,0.00,100.0,5.08,-5,-0.3,,0.0,-0.3,-4,.177,.498,,Free Agency,buttojo01
115,Edward Cabrera,24,MIA,71.2,14,14,24,3.01,4.45,0.09,0.20,0.00,101.6,4.63,13,1.4,,-0.1,2.1,19,.603,.509,,Amateur Free Agent,cabreed02
116,Génesis Cabrera*,25,STL,44.2,39,0,24,4.84,4.43,0.40,-0.30,0.37,94.3,3.87,-5,-0.5,1.33,-0.2,-0.3,-1,.487,.497,,Traded,cabrege01
117,Yennier Cano,28,2TM,18.0,13,0,23,11.50,4.45,0.23,-0.30,0.00,99.8,3.92,-15,-1.4,.53,0.3,-0.9,-14,.390,.495,,Traded,canoye01
118,Victor Caratini,28,MIL,1.0,1,0,3,27.00,4.99,0.56,-0.33,0.00,106.0,4.34,-3,-0.2,.01,0.1,-0.1,-2,.288,.499,,Traded,caratvi01
119,Drew Carlton,26,DET,8.2,5,0,4,4.15,4.30,0.16,-0.29,0.00,97.5,3.75,0,0.0,.12,0.0,0.0,0,.493,.500,,Amateur Draft,carltdr01
120,Carlos Carrasco,35,NYM,152.0,29,29,71,4.20,4.23,-0.01,0.19,0.00,93.5,4.14,-1,-0.1,,-0.1,1.2,13,.496,.499,,Traded,carraca01
121,Daniel Castano*,27,MIA,35.2,10,7,20,5.05,4.50,0.13,0.15,0.16,98.3,4.59,-2,-0.2,.23,0.0,0.1,1,.481,.499,,Traded,castada01
122,Ryan Castellani,26,OAK,2.2,3,0,1,3.38,4.34,-0.20,-0.29,0.00,95.6,4.07,0,0.0,1.49,0.0,0.1,0,.508,.500,,Free Agency,castery01
123,Humberto Castellanos,24,ARI,44.1,11,9,29,5.89,4.46,0.34,0.17,0.00,97.3,4.18,-8,-0.8,.25,0.0,-0.4,-4,.424,.495,,Waivers,castehu01
124,Diego Castillo,28,SEA,54.1,59,0,27,4.47,4.27,0.25,-0.28,0.41,94.0,3.89,-3,-0.4,1.41,-0.2,0.0,1,.494,.498,$2150000,Traded,castidi01
125,Diego Castillo,24,PIT,2.0,2,0,8,36.00,4.15,0.00,-0.28,0.00,103.1,3.99,-7,-0.5,.00,0.3,-0.3,-7,.229,.497,,Traded,castidi02
126,José Castillo*,26,SDP,1.0,1,0,1,9.00,4.19,0.13,-0.28,0.00,84.0,3.19,-1,-0.1,.05,0.0,0.0,-1,.435,.500,,Free Agency,castijo03
127,Luis Castillo,29,2TM,150.1,25,25,56,3.35,4.38,0.00,0.20,0.00,103.8,4.77,24,2.8,,-0.1,4.1,37,.611,.509,$7350000,Traded,castilu02
128,Luis Castillo,27,DET,3.2,3,0,0,0.00,4.17,0.15,-0.28,0.00,98.3,3.67,2,0.2,.13,-0.1,0.1,2,.557,.501,,Free Agency,castilu03
129,Max Castillo,23,2TM,39.1,14,6,28,6.41,4.37,0.01,0.03,0.00,96.3,4.23,-9,-0.9,.18,-0.1,-0.5,-6,.439,.498,,Traded,castima03
130,Anthony Castro,27,CLE,13.1,12,0,15,10.13,4.55,0.55,-0.30,0.00,100.2,3.70,-9,-1.0,.50,0.2,-0.6,-8,.420,.494,,Traded,castran02
131,Harold Castro,28,DET,4.0,4,0,2,4.50,4.48,0.21,-0.30,0.00,96.1,3.82,0,0.0,.00,0.0,0.0,0,.492,.500,$1275000,Amateur Free Agent,castrha01
132,Kervin Castro,23,2TM,12.1,10,0,14,10.22,4.50,-0.03,-0.30,0.00,102.9,4.36,-8,-0.8,.45,0.2,-0.4,-7,.425,.498,,Waivers,castrke01
133,Miguel Castro,27,NYY,29.0,34,0,16,4.97,4.43,0.68,-0.29,0.00,101.6,3.51,-5,-0.5,1.01,-0.1,-0.3,-2,.486,.497,,Traded,castrmi01
134,Cade Cavalli,23,WSN,4.1,1,1,7,14.54,3.72,-0.23,0.17,0.00,92.0,3.80,-5,-0.3,,0.0,-0.3,-5,.161,.498,,Amateur Draft,cavalca01
135,Dylan Cease,26,CHW,184.0,32,32,55,2.69,4.24,-0.12,0.20,0.00,101.7,4.63,40,4.8,,-0.1,6.4,56,.650,.530,,Traded,ceasedy01
136,Luis Cessa,30,CIN,80.2,46,10,44,4.91,4.36,-0.21,-0.03,0.07,109.8,5.05,1,0.1,.75,-0.1,0.8,9,.503,.501,$1800000,Traded,cessalu01
137,Jhoulys Chacín,34,COL,47.1,35,0,44,8.37,4.40,0.05,-0.29,0.12,117.6,4.91,-18,-1.8,.91,0.0,-1.4,-14,.447,.489,$1250000,Free Agency,chacijh01
138,Andrew Chafin*,32,DET,57.1,64,0,26,4.08,4.31,0.15,-0.29,0.10,97.5,3.87,-1,-0.1,1.43,-0.2,0.3,4,.498,.499,$6500000,Free Agency,chafian01
139,Yu Chang,26,TBR,2.0,2,0,3,13.50,3.88,0.29,-0.26,0.00,89.6,2.98,-2,-0.2,.01,0.1,-0.1,-2,.387,.499,,Waivers,changyu01
140,Aroldis Chapman*,34,NYY,36.1,43,0,18,4.46,4.34,0.59,-0.29,0.00,101.2,3.51,-4,-0.4,1.17,-0.1,-0.2,-1,.491,.498,$16000000,Free Agency,chapmar01
141,JT Chargois,31,TBR,22.1,21,3,7,2.82,4.50,0.15,-0.23,0.25,94.6,4.13,3,0.4,.96,-0.1,0.5,5,.518,.502,,Traded,chargjt01
142,Jesse Chavez,38,3TM,69.1,60,1,34,4.41,4.30,0.16,-0.29,0.16,100.5,4.04,-3,-0.3,.89,0.0,0.4,3,.496,.502,$700000,Traded,chaveje01
143,Yonny Chirinos,28,TBR,7.0,2,1,0,0.00,4.59,0.17,-0.01,0.00,93.5,4.13,3,0.4,1.08,0.0,0.5,4,.697,.502,$1175000,Amateur Free Agent,chiriyo01
