Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
782,Trent Thornton,28,TOR,46.0,32,0,21,4.11,4.31,0.28,-0.29,0.00,100.1,3.74,-2,-0.2,.72,-0.1,0.2,2,.494,.499,$850000,Traded,thorntr01
783,Jesus Tinoco,27,TEX,20.2,17,2,5,2.18,4.35,0.06,-0.24,0.00,101.0,4.09,4,0.5,.99,0.0,0.7,6,.529,.503,,Free Agency,tinocje01
784,Justin Topa,31,MIL,7.1,7,0,6,7.36,4.32,0.41,-0.29,0.00,93.5,3.39,-3,-0.3,1.07,0.0,-0.3,-3,.453,.498,,Free Agency,topaju01
785,Luis Torrens,26,SEA,2.0,2,0,2,9.00,4.11,0.46,-0.27,2.75,94.0,5.75,-1,-0.1,1.97,0.0,-0.1,-1,.463,.500,,Traded,torrelu01
786,Touki Toussaint,26,LAA,25.1,8,2,13,4.62,4.27,0.08,-0.14,0.00,100.5,4.07,-1,-0.2,.23,0.0,0.1,1,.481,.499,,Purchased,toussto01
787,Blake Treinen,34,LAD,5.0,5,0,1,1.80,4.19,0.38,-0.28,0.00,115.9,4.09,1,0.1,1.04,0.0,0.2,2,.527,.501,$8000000,Free Agency,treinbl01
788,Lou Trivino,30,2TM,53.2,64,0,31,5.20,4.43,0.17,-0.29,0.41,97.4,4.26,-5,-0.6,1.44,-0.2,-0.2,-1,.491,.497,$3000000,Traded,trivilo01
789,Tanner Tully*,27,CLE,6.0,3,0,4,6.00,4.41,0.63,-0.29,0.00,97.2,3.39,-2,-0.2,.25,0.1,-0.1,-1,.441,.499,,Amateur Draft,tullyta01
790,Kyle Tyler,25,SDP,4.0,2,0,0,0.00,4.16,0.12,-0.28,0.00,102.0,3.83,2,0.2,.15,-0.1,0.1,2,.596,.501,,Waivers,tylerky01
791,Edwin Uceta,24,ARI,17.0,10,0,12,6.35,4.76,0.31,-0.18,0.00,100.1,4.27,-4,-0.4,.28,0.1,-0.2,-2,.460,.498,,Waivers,ucetaed01
792,Erich Uelmen,26,CHC,27.0,25,0,15,5.00,4.37,0.02,-0.29,0.21,100.6,4.29,-2,-0.2,1.08,-0.1,-0.1,0,.491,.499,,Amateur Draft,uelmeer01
793,Duane Underwood Jr.,27,PIT,57.1,51,1,35,5.49,4.48,0.00,-0.30,0.19,101.3,4.44,-7,-0.7,1.35,-0.3,-0.4,-1,.486,.496,,Traded,underdu01
794,José Ureña,30,2TM,97.0,21,17,62,5.75,4.50,0.07,0.16,0.00,113.4,5.21,-6,-0.6,.30,0.0,0.3,3,.471,.498,$1250000,Free Agency,urenajo01
795,Julio Urías*,25,LAD,175.0,31,31,51,2.62,4.35,0.51,0.20,0.00,103.4,4.18,30,3.4,,-0.1,4.9,46,.610,.521,$8000000,Amateur Free Agent,uriasju01
796,José Urquidy,27,HOU,164.1,29,28,74,4.05,4.27,0.53,0.19,0.00,99.4,3.91,-2,-0.2,.95,-0.1,1.2,12,.493,.499,,Amateur Free Agent,urquijo01
797,César Valdez,37,LAA,1.0,1,0,2,18.00,4.31,0.17,-0.29,0.00,102.0,3.93,-2,-0.1,.78,0.0,-0.1,-1,.354,.499,$100000,Free Agency,valdece01
